variable,level,n,percent
sex,female,165,53.054662379421224
sex,male,146,46.94533762057878
occupation,unemployed,152,48.87459807073955
occupation,manual_labor,82,26.366559485530544
occupation,mental_labor,77,24.758842443729904
education_level,junior_high_or_below,243,78.13504823151125
education_level,college_or_above,35,11.254019292604502
education_level,high_school,33,10.610932475884244
smoking,0,274,88.10289389067523
smoking,1,37,11.89710610932476
alcohol_use,0,286,91.96141479099678
alcohol_use,1,25,8.038585209003216
symptom_duration,very_short,127,40.836012861736336
symptom_duration,short,63,20.257234726688104
symptom_duration,none,54,17.363344051446948
symptom_duration,medium,39,12.540192926045016
symptom_duration,long,28,9.003215434083602
abdominal_pain,1,257,82.63665594855306
abdominal_pain,0,54,17.363344051446948
pain_frequency,daily,140,45.01607717041801
pain_frequency,monthly,62,19.935691318327976
pain_frequency,none,54,17.363344051446948
pain_frequency,weekly,44,14.14790996784566
pain_frequency,occasional,11,3.536977491961415
radiating_pain,0,204,65.59485530546624
radiating_pain,1,107,34.40514469453376
meal_related_pain,0,279,89.71061093247589
meal_related_pain,1,32,10.289389067524116
hypertension,0,211,67.84565916398714
hypertension,1,100,32.154340836012864
hyperlipidemia,0,271,87.13826366559485
hyperlipidemia,1,40,12.861736334405144
diabetes,0,273,87.78135048231512
diabetes,1,38,12.218649517684888
anxiety_depression,0,302,97.10610932475883
anxiety_depression,1,9,2.8938906752411575
prior_abdominal_surgery,0,235,75.56270096463022
prior_abdominal_surgery,1,76,24.437299035369776
gallbladder_wall_thickening,0,250,80.38585209003215
gallbladder_wall_thickening,1,61,19.614147909967848
stone_number,multiple,262,84.2443729903537
stone_number,no_stone,26,8.360128617363344
stone_number,single,23,7.395498392282958
stone_location,gallbladder_body,238,76.52733118971061
stone_location,none,26,8.360128617363344
stone_location,gallbladder_fundus,24,7.717041800643088
stone_location,distal_common_bile_duct,11,3.536977491961415
stone_location,gallbladder_neck,8,2.572347266881029
stone_location,cystic_duct,3,0.964630225080386
stone_location,left_intrahepatic_bile_duct,1,0.3215434083601286
fatty_liver,0,238,76.52733118971061
fatty_liver,1,73,23.47266881028939
gallbladder_atrophy,0,307,98.71382636655949
gallbladder_atrophy,1,4,1.2861736334405145
pcs,0,241,77.491961414791
pcs,1,70,22.508038585209004
