variable,n,missing,mean,sd,median,q1,q3,min,max
age,311,0,58.09324758842444,13.646019840366039,60.0,49.0,69.0,17.0,88.0
height_cm,311,0,163.83922829581994,8.12353439184293,164.0,158.0,170.0,143.0,192.5
weight_kg,311,0,63.78295819935691,11.169965442874986,64.0,57.0,71.0,40.0,92.0
bmi,311,0,23.676003962386492,3.224099385915123,23.828124999999996,21.526453447215225,25.80118499012508,14.36734693877551,33.057851239669425
max_stone_diameter_mm,275,36,12.161090909090909,5.3957112168370305,11.0,8.0,15.0,2.0,34.0
common_bile_duct_diameter_mm,309,2,6.237864077669903,1.5612671658890773,6.0,6.0,7.0,3.0,18.0
alt,311,0,69.39228295819936,123.80625005692717,24.0,16.0,54.0,6.0,898.0
ast,311,0,59.80385852090032,129.05571484227605,22.0,18.0,37.5,11.0,1188.0
alp,311,0,100.10289389067525,55.25613985430381,84.0,69.0,111.0,31.0,547.0
ggt,310,1,95.58064516129032,151.1241102920263,31.0,18.25,99.0,8.0,1186.0
total_bilirubin,311,0,18.76752411575563,18.720637395542507,13.2,9.3,19.2,4.8,136.4
total_bile_acid,311,0,13.436022508038585,47.32055689992297,2.8,1.4,5.8,0.2,553.4
total_cholesterol,305,6,4.634360655737705,1.071799857850821,4.5,3.97,5.28,2.07,8.86
triglyceride,305,6,1.4763606557377051,1.1197909525417256,1.25,0.91,1.76,0.28,15.26
alpha_fetoprotein,306,5,3.2266993464052285,3.095747356118971,2.57,2.0949999999999998,3.45,0.52,39.97
ca199,306,5,53.6174183006536,238.38807519727942,8.9,4.7,17.849999999999998,0.8,2044.0
