source_order,original_name,english_name,type,role,included_in_dataset_csv
1,姓名,patient_name,identifier,identifier,False
2,住院号,hospital_id,identifier,identifier,False
3,年龄,age,numeric,predictor,True
4,性别,sex,categorical,predictor,True
5,职业,occupation,categorical,predictor,True
6,身高,height_cm,numeric,predictor,True
7,体重,weight_kg,numeric,predictor,True
8,BMI,bmi,numeric,predictor,True
9,教育水平,education_level,categorical,predictor,True
10,是否吸烟,smoking,binary,predictor,True
11,是否饮酒,alcohol_use,binary,predictor,True
12,症状持续时间,symptom_duration,ordinal_categorical,predictor,True
13,有否腹痛,abdominal_pain,binary,predictor,True
14,疼痛频率,pain_frequency,ordinal_categorical,predictor,True
15,是否有放射痛,radiating_pain,binary,predictor,True
16,是否与进食有关,meal_related_pain,binary,predictor,True
17,是否合并高血压,hypertension,binary,predictor,True
18,是否合并高血脂,hyperlipidemia,binary,predictor,True
19,是否合并糖尿病,diabetes,binary,predictor,True
20,是否焦虑/抑郁,anxiety_depression,binary,predictor,True
21,是否既往腹部手术史,prior_abdominal_surgery,binary,predictor,True
22,胆囊壁是否增厚,gallbladder_wall_thickening,binary,predictor,True
23,最大结石直径,max_stone_diameter_mm,numeric,predictor,True
24,结石数量,stone_number,categorical,predictor,True
25,结石位置,stone_location,categorical,predictor,True
26,胆总管直径,common_bile_duct_diameter_mm,numeric,predictor,True
27,是否有脂肪肝,fatty_liver,binary,predictor,True
28,胆囊是否萎缩,gallbladder_atrophy,binary,predictor,True
29,谷丙转氨酶,alt,numeric,predictor,True
30,谷草转氨酶,ast,numeric,predictor,True
31,碱性磷酸酶,alp,numeric,predictor,True
32,谷氨酰转肽酶,ggt,numeric,predictor,True
33,总胆红素,total_bilirubin,numeric,predictor,True
34,总胆汁酸,total_bile_acid,numeric,predictor,True
35,总胆固醇,total_cholesterol,numeric,predictor,True
36,甘油三酯,triglyceride,numeric,predictor,True
37,甲胎蛋白,alpha_fetoprotein,numeric,predictor,True
38,CA199,ca199,numeric,predictor,True
39,是否发生PCS,pcs,binary,outcome,True
40,PCS发生时间,pcs_onset_time_days,numeric,post_outcome,False
41,PCS症状类型,pcs_symptom_type,categorical,post_outcome,False
