term,label,source_variable,OR,CI_low,CI_high,p_value,OR (95% CI),P
ggt,ggt,ggt,7.106677651908802,3.3050925557336504,15.280923724972398,5.15330840833617e-07,7.11 (3.31-15.28),<0.001
ca199,ca199,ca199,116.72072520544928,3.752459618267916,3630.6127389518765,0.006647755424903489,116.72 (3.75-3630.61),0.007
total_bilirubin,total_bilirubin,total,1.8141141066474475,0.9847059863192344,3.3421244896040934,0.05606557049662201,1.81 (0.98-3.34),0.056
total_bile_acid,total_bile_acid,total,9.558548388148356,0.3360988007050741,271.8422294185656,0.18629550683228713,9.56 (0.34-271.84),0.186
symptom_duration_medium,symptom_duration_medium,symptom,6.06952659671116,0.41461579968014695,88.85130073818583,0.18784439838106126,6.07 (0.41-88.85),0.188
pain_frequency_weekly,pain_frequency_weekly,pain,4.313655297554686,0.30638337927860526,60.733131379169976,0.27866863122835217,4.31 (0.31-60.73),0.279
symptom_duration_very_short,symptom_duration_very_short,symptom,6.043332581045244,0.1519610470566058,240.33704289704247,0.33840635600973856,6.04 (0.15-240.34),0.338
pain_frequency_occasional,pain_frequency_occasional,pain,4.313310186826414,0.15901807510930405,116.99704423533153,0.38537677696887773,4.31 (0.16-117.00),0.385
pain_frequency_none,pain_frequency_none,pain,3.1544414610734264,0.06585855697534325,151.08896077186176,0.5605949403326953,3.15 (0.07-151.09),0.561
pain_frequency_monthly,pain_frequency_monthly,pain,1.1704648801416906,0.08058355975685842,17.00083788527973,0.9082152019342289,1.17 (0.08-17.00),0.908
age,age,age,0.9802967556382892,0.6361408421748405,1.5106430296623437,0.9281328788367322,0.98 (0.64-1.51),0.928
symptom_duration_short,symptom_duration_short,symptom,1.0912557133570018,0.04985033551409059,23.888285197151767,0.9557696777751629,1.09 (0.05-23.89),0.956
