variable,label,n_pcs,n_no_pcs,median_pcs,q1_pcs,q3_pcs,median_no_pcs,q1_no_pcs,q3_no_pcs,rank_biserial,p_value,neg_log10_p,p_fdr
ggt,GGT,69,241,234.0,108.0,382.0,25.0,17.0,46.0,0.7449034818690239,3.892112073997054e-21,20.40981466264374,6.227379318395286e-20
alt,ALT,70,241,138.5,57.25,269.0,21.0,15.0,35.0,0.6788974510966213,5.207349983238746e-18,17.283383232640908,4.165879986590997e-17
alp,ALP,70,241,137.5,100.25,212.75,78.0,67.0,96.0,0.6505631298162418,1.1731521354194952e-16,15.93064566453503,6.256811388903975e-16
ast,AST,70,241,76.0,31.0,191.25,21.0,17.0,27.0,0.6425607587433313,2.6276578392471657e-16,15.580431187134078,1.0510631356988663e-15
ca199,CA19-9,70,236,22.9,11.799999999999999,94.025,6.9,4.275,13.825000000000001,0.5492736077481841,2.9478292250645386e-12,11.53049767982262,9.433053520206523e-12
total_bilirubin,Total bilirubin,70,241,25.9,13.6,43.65,11.8,9.1,16.7,0.5410788381742739,5.548294902244467e-12,11.255840463421803,1.4795453072651912e-11
total_bile_acid,Total bile acid,70,241,5.4,2.625,41.35,2.2,1.3,4.8,0.4007113218731475,3.330054556644308e-07,6.477548651341882,7.611553272329847e-07
total_cholesterol,Total cholesterol,69,236,4.34,3.73,4.94,4.585,4.057499999999999,5.345,-0.1849054286416114,0.019513805189102163,1.7096580349881838,0.039027610378204326
common_bile_duct_diameter_mm,Common bile duct diameter,70,239,6.0,6.0,7.0,6.0,5.0,6.0,0.15379557680812916,0.03508599381405726,1.4548662175291123,0.058515304767725165
bmi,BMI,70,241,22.877594260284614,20.800461051763513,24.910466274919298,24.03460983816696,21.71925011431184,26.12494932660691,-0.1641967990515708,0.03657206547982823,1.436850511328329,0.058515304767725165
age,Age,70,241,64.0,48.25,72.0,59.0,49.0,67.0,0.15008891523414336,0.05594221345780807,1.2522603539549446,0.08137049230226628
triglyceride,Triglyceride,69,236,1.2,0.86,1.67,1.275,0.92,1.85,-0.11845983787767134,0.13464475793260755,0.8708105501266534,0.1795263439101434
weight_kg,Weight,70,241,60.0,55.0,70.0,64.5,57.0,71.0,-0.11375222288085363,0.14739827413124362,0.8315076015493247,0.18141326046922293
alpha_fetoprotein,Alpha-fetoprotein,70,236,2.5,1.9525,3.1125,2.6,2.14,3.4825,-0.09721549636803872,0.21703719145762057,0.6634658391430206,0.24804250452299495
max_stone_diameter_mm,Maximum stone diameter,62,213,11.0,9.0,14.0,11.0,8.0,15.0,0.0560351355444495,0.5014533299750294,0.29976948034541195,0.5348835519733648
height_cm,Height,70,241,165.0,157.25,170.0,164.0,158.0,170.0,0.034617664493183264,0.6592116998400834,0.1809750932847025,0.6592116998400834
